scenario,carico_mbit,ripetizione,seq,rtt_ms
slicing,5,1,0,9.100
slicing,5,1,1,11.000
slicing,5,1,2,9.130
slicing,5,1,3,10.900
slicing,5,1,4,11.700
slicing,5,1,5,10.900
slicing,5,1,6,10.600
slicing,5,1,7,9.930
slicing,5,1,8,9.570
slicing,5,1,9,10.200
slicing,5,1,10,10.500
slicing,5,1,11,9.780
slicing,5,1,12,10.500
slicing,5,1,13,9.950
slicing,5,1,14,11.800
slicing,5,1,15,10.600
slicing,5,1,16,9.860
slicing,5,1,17,11.100
slicing,5,1,18,12.000
slicing,5,1,19,10.100
slicing,5,1,20,12.200
slicing,5,1,21,9.070
slicing,5,1,22,11.200
slicing,5,1,23,10.000
slicing,5,1,24,10.100
slicing,5,1,25,12.100
slicing,5,1,26,10.700
slicing,5,1,27,9.890
slicing,5,1,28,10.700
slicing,5,1,29,9.660
slicing,5,1,30,9.630
slicing,5,1,31,11.300
slicing,5,1,32,11.100
slicing,5,1,33,10.100
slicing,5,1,34,10.100
slicing,5,1,35,12.000
slicing,5,1,36,9.450
slicing,5,1,37,11.500
slicing,5,1,38,10.300
slicing,5,1,39,10.700
slicing,5,1,40,11.000
slicing,5,1,41,10.900
slicing,5,1,42,9.480
slicing,5,1,43,10.600
slicing,5,1,44,9.010
slicing,5,1,45,10.300
slicing,5,1,46,11.200
slicing,5,1,47,10.400
slicing,5,1,48,9.940
slicing,5,1,49,10.300
slicing,5,1,50,11.800
slicing,5,1,51,11.300
slicing,5,1,52,10.800
slicing,5,1,53,10.300
slicing,5,1,54,10.700
slicing,5,1,55,11.100
slicing,5,1,56,10.100
slicing,5,1,57,10.600
slicing,5,1,58,9.950
slicing,5,1,59,10.600
slicing,5,1,60,11.900
slicing,5,1,61,10.600
slicing,5,1,62,8.990
slicing,5,1,63,10.800
slicing,5,1,64,10.300
slicing,5,1,65,12.200
slicing,5,1,66,11.400
slicing,5,1,67,10.400
slicing,5,1,68,11.400
slicing,5,1,69,9.980
slicing,5,1,70,10.200
slicing,5,1,71,10.900
slicing,5,1,72,9.290
slicing,5,1,73,10.900
slicing,5,1,74,10.800
slicing,5,1,75,10.200
slicing,5,1,76,11.900
slicing,5,1,77,10.300
slicing,5,1,78,10.800
slicing,5,1,79,11.300
slicing,5,1,80,9.850
slicing,5,1,81,10.900
slicing,5,1,82,10.700
slicing,5,1,83,11.300
slicing,5,1,84,8.960
slicing,5,1,85,11.200
slicing,5,1,86,11.300
slicing,5,1,87,11.100
slicing,5,1,88,10.000
slicing,5,1,89,9.760
slicing,5,1,90,11.800
slicing,5,1,91,9.950
slicing,5,1,92,10.400
slicing,5,1,93,10.300
slicing,5,1,94,11.500
slicing,5,1,95,10.700
slicing,5,1,96,11.400
slicing,5,1,97,9.020
slicing,5,1,98,11.000
slicing,5,1,99,11.000
slicing,5,2,0,9.810
slicing,5,2,1,10.400
slicing,5,2,2,9.220
slicing,5,2,3,8.850
slicing,5,2,4,10.500
slicing,5,2,5,11.400
slicing,5,2,6,9.870
slicing,5,2,7,10.300
slicing,5,2,8,10.500
slicing,5,2,9,10.400
slicing,5,2,10,10.500
