scenario,carico_mbit,ripetizione,rtt_medio,rtt_p95,rtt_max,perdita_pct,scarti_coda0,scarti_coda1,scarti_coda2,byte_coda0,byte_coda1,byte_coda2
slicing,5,1,10.580999999999996,11.9,12.2,0.0,0,0,0,14283653,5621186,1403626
slicing,5,2,10.431399999999998,11.8,14.8,0.0,0,0,0,14277267,5615226,1402136
slicing,5,3,10.535,12.0,19.2,0.0,0,0,0,14278175,5622676,1403626
slicing,10,1,10.5244,11.9,12.3,0.0,491,0,0,20207704,5622676,1403626
slicing,10,2,10.577400000000003,12.1,15.9,0.0,495,0,0,20027208,5627146,1403626
slicing,10,3,10.477300000000003,12.0,12.7,0.0,491,0,0,20207644,5622676,1403626
slicing,20,1,10.568000000000005,12.1,12.7,0.0,480,0,0,20145498,5616716,1402136
slicing,20,2,10.519099999999996,11.8,13.1,0.0,489,0,0,20189188,5622676,1403626
slicing,20,3,10.5125,11.7,12.6,0.0,488,0,0,20175844,5621186,1403626
none,5,1,43.2829,91.8,103.0,0.0,0,0,0,21379693,0,0
none,5,2,49.551100000000034,107.0,119.0,0.0,0,0,0,21379427,0,0
none,5,3,49.05700000000001,108.0,117.0,0.0,0,0,0,21382467,0,0
none,10,1,937.7912087912088,1979.0,1984.0,9.0,606,0,0,32198981,0,0
none,10,2,959.8387096774194,1976.0,1991.0,7.0,608,0,0,32216023,0,0
none,10,3,901.6361702127659,1982.0,1995.0,6.0,630,0,0,32193579,0,0
none,20,1,940.2391304347826,1971.0,1990.0,8.0,620,0,0,32184245,0,0
none,20,2,735.9648936170213,1961.0,1980.0,6.0,565,0,0,32150724,0,0
none,20,3,918.7852631578947,1978.0,1984.0,5.0,596,0,0,32170631,0,0
